order_id,order_status,order_created_at,order_date,payment_at,shipping_deadline,shipping_arranged_at,order_completed_at,payment_lead_time_minutes,processing_time_minutes,completion_time_hours,deadline_margin_minutes,is_cancelled,has_started_fulfillment,cancellation_stage,processing_category,is_late_shipment,is_returned,returned_items,total_items,unique_products,is_deadline_risk,cancellation_category
25100103H6A1U8,Batal,2025-10-01 14:43:00,2025-10-01,2025-10-01 14:43:00,2025-10-02 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Other
25100103PB9F31,Selesai,2025-10-01 14:46:00,2025-10-01,2025-10-01 14:46:00,2025-10-02 23:59:00,2025-10-02 20:29:00,2025-10-12 22:01:00,0.0,1783.0,241.53333333333333,210.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010404366C,Selesai,2025-10-01 14:51:00,2025-10-01,2025-10-01 14:51:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-10 15:48:00,0.0,1665.0,189.2,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001041Y5BQN,Selesai,2025-10-01 14:52:00,2025-10-01,2025-10-01 14:52:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-11 16:50:00,0.0,1664.0,214.23333333333332,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100104GU4D3T,Selesai,2025-10-01 15:01:00,2025-10-01,2025-10-01 15:05:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-11 15:25:00,4.0,1655.0,212.81666666666666,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100104ND0TRQ,Selesai,2025-10-01 15:03:00,2025-10-01,2025-10-01 15:03:00,2025-10-02 23:59:00,2025-10-02 18:35:00,2025-10-17 15:29:00,0.0,1652.0,356.9,324.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100104RD9UHG,Batal,2025-10-01 15:05:00,2025-10-01,2025-10-01 15:05:00,2025-10-02 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Change Order
25100105C1RY31,Selesai,2025-10-01 15:16:00,2025-10-01,2025-10-01 15:17:00,2025-10-02 23:59:00,2025-10-02 18:35:00,2025-10-12 09:45:00,1.0,1639.0,231.16666666666666,324.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010669Y411,Selesai,2025-10-01 15:30:00,2025-10-01,2025-10-01 15:31:00,2025-10-02 23:59:00,2025-10-02 18:35:00,2025-10-07 09:49:00,1.0,1625.0,111.23333333333333,324.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100108QU7HG3,Batal,2025-10-01 16:16:00,2025-10-01,2025-10-01 16:16:00,2025-10-02 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Other
251001094EKWXY,Selesai,2025-10-01 16:23:00,2025-10-01,2025-10-01 16:23:00,2025-10-02 23:59:00,2025-10-02 18:35:00,2025-10-12 01:41:00,0.0,1572.0,223.1,324.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001094XTG1Q,Selesai,2025-10-01 16:23:00,2025-10-01,2025-10-01 16:24:00,2025-10-02 23:59:00,2025-10-02 20:30:00,2025-10-05 14:28:00,1.0,1687.0,65.96666666666667,209.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010A6AWQY3,Selesai,2025-10-01 16:42:00,2025-10-01,2025-10-01 16:42:00,2025-10-02 23:59:00,2025-10-01 16:42:00,2025-10-08 19:46:00,0.0,0.0,171.06666666666666,1877.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010AMC4WA9,Selesai,2025-10-01 16:50:00,2025-10-01,2025-10-01 16:50:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-07 20:11:00,0.0,1546.0,121.58333333333333,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010B12E4M4,Selesai,2025-10-01 16:57:00,2025-10-01,2025-10-01 16:57:00,2025-10-02 23:59:00,2025-10-02 18:37:00,2025-10-11 19:36:00,0.0,1540.0,216.98333333333332,322.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010BGGC9NS,Selesai,2025-10-01 17:06:00,2025-10-01,2025-10-01 17:47:00,2025-10-02 23:59:00,2025-10-02 20:29:00,2025-10-12 00:28:00,41.0,1643.0,219.98333333333332,210.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010BSBMS94,Batal,2025-10-01 17:11:00,2025-10-01,2025-10-01 17:11:00,2025-10-02 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Change Order
2510010CWJD63T,Selesai,2025-10-01 17:31:00,2025-10-01,2025-10-01 17:32:00,2025-10-02 23:59:00,2025-10-01 17:32:00,2025-10-10 21:15:00,1.0,1.0,219.71666666666667,1827.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010EE2WKUS,Selesai,2025-10-01 17:58:00,2025-10-01,2025-10-01 17:58:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-10 06:36:00,0.0,1478.0,180.0,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010EGM133D,Selesai,2025-10-01 17:59:00,2025-10-01,2025-10-01 17:59:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-10 01:30:00,0.0,1477.0,174.9,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010FB6MUP2,Selesai,2025-10-01 18:14:00,2025-10-01,2025-10-01 18:14:00,2025-10-02 23:59:00,2025-10-02 20:30:00,2025-10-13 08:56:00,0.0,1576.0,252.43333333333334,209.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010G0XWM5N,Selesai,2025-10-01 18:26:00,2025-10-01,2025-10-01 18:27:00,2025-10-02 23:59:00,2025-10-02 18:39:00,2025-10-13 11:03:00,1.0,1453.0,256.4,320.0,0,1,Not Cancelled,Normal,0,0,0,7,1,0,Not Cancelled
2510010G9284MM,Selesai,2025-10-01 18:31:00,2025-10-01,2025-10-01 18:31:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-04 15:09:00,0.0,1445.0,44.55,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010H1H8Q2A,Selesai,2025-10-01 18:45:00,2025-10-01,2025-10-01 18:45:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-09 22:06:00,0.0,1431.0,171.5,323.0,0,1,Not Cancelled,Normal,0,1,1,1,1,0,Not Cancelled
2510010J39Q34E,Selesai,2025-10-01 19:03:00,2025-10-01,2025-10-01 19:04:00,2025-10-02 23:59:00,2025-10-02 20:30:00,2025-10-04 15:30:00,1.0,1527.0,43.0,209.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010JC9QFUX,Selesai,2025-10-01 19:09:00,2025-10-01,2025-10-01 19:09:00,2025-10-02 23:59:00,2025-10-01 19:09:00,2025-10-11 15:31:00,0.0,0.0,236.36666666666667,1730.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010N40DREX,Selesai,2025-10-01 19:58:00,2025-10-01,2025-10-01 19:58:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-13 12:47:00,0.0,1358.0,258.18333333333334,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010P5YMRRS,Selesai,2025-10-01 20:17:00,2025-10-01,2025-10-01 20:17:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-14 11:33:00,0.0,1339.0,280.95,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010QNHN0PG,Selesai,2025-10-01 20:43:00,2025-10-01,2025-10-01 20:44:00,2025-10-02 23:59:00,2025-10-02 18:37:00,2025-10-10 20:18:00,1.0,1314.0,193.68333333333334,322.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010U11K9TS,Selesai,2025-10-01 21:43:00,2025-10-01,2025-10-01 21:43:00,2025-10-02 23:59:00,2025-10-01 21:43:00,2025-10-03 11:30:00,0.0,0.0,37.78333333333333,1576.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010V3QNCQE,Selesai,2025-10-01 22:03:00,2025-10-01,2025-10-01 22:03:00,2025-10-02 23:59:00,2025-10-02 18:37:00,2025-10-11 22:01:00,0.0,1234.0,219.4,322.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010V8SSSCW,Selesai,2025-10-01 22:06:00,2025-10-01,2025-10-01 22:06:00,2025-10-02 23:59:00,2025-10-02 18:35:00,2025-10-07 14:16:00,0.0,1229.0,115.68333333333334,324.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010VNPNXSW,Selesai,2025-10-01 22:13:00,2025-10-01,2025-10-01 22:13:00,2025-10-02 23:59:00,2025-10-02 20:54:00,2025-10-07 22:03:00,0.0,1361.0,121.15,185.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010WWEY4YX,Selesai,2025-10-01 22:35:00,2025-10-01,2025-10-01 22:36:00,2025-10-02 23:59:00,2025-10-02 20:29:00,2025-10-10 17:21:00,1.0,1314.0,188.86666666666667,210.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510010XGRXQQP,Batal,2025-10-01 22:46:00,2025-10-01,2025-10-01 22:46:00,2025-10-02 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Other
2510010Y07VXWG,Selesai,2025-10-01 22:54:00,2025-10-01,2025-10-01 22:55:00,2025-10-02 23:59:00,2025-10-02 20:30:00,2025-10-03 20:48:00,1.0,1296.0,24.3,209.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001UNHCN8DU,Selesai,2025-10-01 00:00:00,2025-10-01,2025-10-01 00:01:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-09 17:01:00,1.0,827.0,195.23333333333332,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001UP66BYYR,Selesai,2025-10-01 00:12:00,2025-10-01,2025-10-01 00:12:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-05 22:09:00,0.0,815.0,104.36666666666666,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001UPSTSN2B,Selesai,2025-10-01 00:23:00,2025-10-01,2025-10-01 00:23:00,2025-10-01 23:59:00,2025-10-01 19:03:00,2025-10-12 21:29:00,0.0,1120.0,266.43333333333334,296.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001UQFVJ256,Selesai,2025-10-01 00:35:00,2025-10-01,2025-10-01 00:35:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-02 20:26:00,0.0,792.0,30.65,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001URK9G7QS,Selesai,2025-10-01 00:55:00,2025-10-01,2025-10-01 00:55:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-10 12:17:00,0.0,772.0,214.5,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001UVXRQ765,Selesai,2025-10-01 02:13:00,2025-10-01,2025-10-01 02:15:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-03 17:01:00,2.0,694.0,51.233333333333334,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001V7SNG2N0,Selesai,2025-10-01 05:27:00,2025-10-01,2025-10-01 14:42:00,2025-10-02 23:59:00,2025-10-01 19:04:00,2025-10-12 18:53:00,555.0,817.0,263.81666666666666,1735.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001V8B3B19K,Selesai,2025-10-01 05:37:00,2025-10-01,2025-10-01 05:37:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-11 17:53:00,0.0,489.0,244.11666666666667,613.0,0,1,Not Cancelled,Normal,0,0,0,2,2,0,Not Cancelled
251001V93P6B3G,Batal,2025-10-01 05:51:00,2025-10-01,,,,,,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Change Address
251001V97NY1A4,Selesai,2025-10-01 05:53:00,2025-10-01,2025-10-01 05:53:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-13 21:41:00,0.0,474.0,295.9,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001V97TP30K,Selesai,2025-10-01 05:53:00,2025-10-01,2025-10-01 05:53:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-06 18:22:00,0.0,474.0,124.58333333333333,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VDA27YXQ,Selesai,2025-10-01 07:06:00,2025-10-01,2025-10-01 07:06:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-06 09:20:00,0.0,401.0,115.55,612.0,0,1,Not Cancelled,Normal,0,0,0,2,2,0,Not Cancelled
251001VECAXNE4,Selesai,2025-10-01 07:25:00,2025-10-01,2025-10-01 07:25:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-11 19:06:00,0.0,382.0,245.31666666666666,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VEYRS0WU,Selesai,2025-10-01 07:36:00,2025-10-01,2025-10-01 07:36:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-05 10:30:00,0.0,371.0,92.71666666666667,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VFWV0NP6,Selesai,2025-10-01 07:53:00,2025-10-01,2025-10-01 07:53:00,2025-10-01 23:59:00,2025-10-01 19:04:00,2025-10-10 21:15:00,0.0,671.0,218.18333333333334,295.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VG0FX7B8,Batal,2025-10-01 07:54:00,2025-10-01,2025-10-01 07:54:00,2025-10-01 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Change Order
251001VGCM1E7A,Batal,2025-10-01 08:01:00,2025-10-01,2025-10-01 08:01:00,2025-10-01 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Other
251001VGGE4V2X,Selesai,2025-10-01 08:03:00,2025-10-01,2025-10-01 08:04:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-07 09:19:00,1.0,343.0,139.55,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VHSK5T7R,Selesai,2025-10-01 08:26:00,2025-10-01,2025-10-01 08:26:00,2025-10-01 23:59:00,2025-10-01 19:04:00,2025-10-03 16:09:00,0.0,638.0,45.083333333333336,295.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VJR0VEVS,Selesai,2025-10-01 08:43:00,2025-10-01,2025-10-01 08:43:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-09 13:15:00,0.0,304.0,191.46666666666667,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VM40G965,Batal,2025-10-01 09:08:00,2025-10-01,2025-10-01 09:08:00,2025-10-01 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Change Address
251001VM5H4PDJ,Selesai,2025-10-01 09:08:00,2025-10-01,2025-10-01 09:09:00,2025-10-01 23:59:00,2025-10-01 19:03:00,2025-10-05 10:27:00,1.0,595.0,87.4,296.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VN5N4WGA,Selesai,2025-10-01 09:26:00,2025-10-01,2025-10-01 09:26:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-10 19:49:00,0.0,260.0,222.05,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VN894TY9,Selesai,2025-10-01 09:28:00,2025-10-01,2025-10-01 09:28:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-20 21:31:00,0.0,258.0,463.75,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VN9YFEB5,Selesai,2025-10-01 09:29:00,2025-10-01,2025-10-01 09:29:00,2025-10-01 12:29:00,2025-10-01 11:34:00,2025-10-05 23:06:00,0.0,125.0,107.53333333333333,55.0,0,1,Not Cancelled,Normal,0,0,0,6,1,1,Not Cancelled
251001VND6GM8K,Selesai,2025-10-01 09:31:00,2025-10-01,2025-10-01 09:31:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-05 14:05:00,0.0,255.0,96.31666666666666,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VP29N28E,Batal,2025-10-01 09:42:00,2025-10-01,2025-10-01 09:42:00,2025-10-01 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Other
251001VR38Q9WS,Selesai,2025-10-01 10:19:00,2025-10-01,2025-10-01 10:19:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-12 15:27:00,0.0,207.0,265.68333333333334,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VRPSC98H,Selesai,2025-10-01 10:30:00,2025-10-01,2025-10-01 10:30:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-14 18:37:00,0.0,196.0,316.85,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VS39V5VB,Selesai,2025-10-01 10:37:00,2025-10-01,2025-10-01 10:37:00,2025-10-01 23:59:00,2025-10-01 19:04:00,2025-10-10 20:21:00,0.0,507.0,217.28333333333333,295.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VSHPFFHQ,Selesai,2025-10-01 10:45:00,2025-10-01,2025-10-01 10:45:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-03 21:28:00,0.0,181.0,55.7,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VT6J210E,Selesai,2025-10-01 10:56:00,2025-10-01,2025-10-01 10:57:00,2025-10-01 23:59:00,2025-10-01 15:06:00,2025-10-02 16:05:00,1.0,250.0,24.983333333333334,533.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VU3JWHHV,Selesai,2025-10-01 11:13:00,2025-10-01,2025-10-01 11:13:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-04 07:28:00,0.0,153.0,65.7,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VUSY4EDU,Selesai,2025-10-01 11:25:00,2025-10-01,2025-10-01 11:25:00,2025-10-01 23:59:00,2025-10-01 11:25:00,2025-10-03 07:36:00,0.0,0.0,44.18333333333333,754.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VUX9ETE9,Selesai,2025-10-01 11:28:00,2025-10-01,2025-10-01 11:28:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-03 20:53:00,0.0,138.0,55.11666666666667,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VV45AE06,Selesai,2025-10-01 11:31:00,2025-10-01,2025-10-01 11:31:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-19 10:53:00,0.0,135.0,429.1166666666667,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VV70WK3E,Selesai,2025-10-01 11:32:00,2025-10-01,2025-10-01 11:32:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-18 12:25:00,0.0,134.0,406.65,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VVB89P4J,Selesai,2025-10-01 11:35:00,2025-10-01,2025-10-01 11:35:00,2025-10-01 23:59:00,2025-10-01 11:35:00,2025-10-03 07:23:00,0.0,0.0,43.8,744.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VW1W3WT6,Selesai,2025-10-01 11:47:00,2025-10-01,2025-10-01 11:48:00,2025-10-01 23:59:00,2025-10-01 19:03:00,2025-10-11 09:40:00,1.0,436.0,230.61666666666667,296.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VW2NWCAR,Selesai,2025-10-01 11:48:00,2025-10-01,2025-10-01 11:48:00,2025-10-01 23:59:00,2025-10-01 13:46:00,2025-10-10 20:18:00,0.0,118.0,222.53333333333333,613.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VWEP6186,Selesai,2025-10-01 11:55:00,2025-10-01,2025-10-01 11:56:00,2025-10-01 23:59:00,2025-10-01 13:47:00,2025-10-02 10:21:00,1.0,112.0,20.566666666666666,612.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VXGHKJCF,Selesai,2025-10-01 12:14:00,2025-10-01,2025-10-01 12:14:00,2025-10-02 23:59:00,2025-10-01 15:06:00,2025-10-14 08:40:00,0.0,172.0,305.56666666666666,1973.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VXNY6BF1,Selesai,2025-10-01 12:17:00,2025-10-01,2025-10-01 12:18:00,2025-10-02 23:59:00,2025-10-02 18:38:00,2025-10-10 17:32:00,1.0,1821.0,190.9,321.0,0,1,Not Cancelled,Normal,0,0,0,2,1,0,Not Cancelled
251001VY50RFXS,Selesai,2025-10-01 12:25:00,2025-10-01,2025-10-01 13:24:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-13 15:14:00,59.0,1811.0,260.6333333333333,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001VYMND6P4,Selesai,2025-10-01 12:34:00,2025-10-01,2025-10-01 12:34:00,2025-10-02 23:59:00,2025-10-01 15:06:00,2025-10-10 14:36:00,0.0,152.0,215.5,1973.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
251001W0N7U7BY,Selesai,2025-10-01 12:52:00,2025-10-01,2025-10-01 12:52:00,2025-10-02 23:59:00,2025-10-01 19:03:00,2025-10-11 18:16:00,0.0,371.0,239.21666666666667,1736.0,0,1,Not Cancelled,Normal,0,0,0,6,1,0,Not Cancelled
251001W2QT9CPN,Selesai,2025-10-01 13:29:00,2025-10-01,2025-10-01 13:47:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-04 18:20:00,18.0,1747.0,47.733333333333334,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100212D1P306,Selesai,2025-10-01 23:55:00,2025-10-01,2025-10-01 23:55:00,2025-10-02 23:59:00,2025-10-01 23:55:00,2025-10-06 08:22:00,0.0,0.0,104.45,1444.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510021BBM82B4,Selesai,2025-10-02 02:36:00,2025-10-02,2025-10-02 02:36:00,2025-10-02 23:59:00,2025-10-02 18:37:00,2025-10-12 09:43:00,0.0,961.0,231.1,322.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510021CRHDUAC,Selesai,2025-10-02 03:01:00,2025-10-02,2025-10-02 03:01:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-11 19:06:00,0.0,935.0,216.5,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510021JVC08PE,Batal,2025-10-02 04:50:00,2025-10-02,2025-10-02 04:50:00,2025-10-02 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Other
2510021M2FSSXS,Selesai,2025-10-02 05:11:00,2025-10-02,2025-10-02 05:12:00,2025-10-02 23:59:00,2025-10-02 20:29:00,2025-10-12 22:17:00,1.0,918.0,241.8,210.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510021MTFGJNV,Selesai,2025-10-02 05:25:00,2025-10-02,2025-10-02 05:25:00,2025-10-02 23:59:00,2025-10-02 05:25:00,2025-10-10 12:20:00,0.0,0.0,198.91666666666666,1114.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
2510021MUKRH49,Batal,2025-10-02 05:26:00,2025-10-02,,,,,,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Change Order
